"player_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"301","3","45","7","723","73","166","25","77","52","43","24","9","200"
"301","7","52","2","694","44","108","22","56","78","44","17","12","118"
"303","1","64","0","783","135","328","47","133","51","109","27","1","353"
"303","2","51","0","801","128","336","62","182","75","87","28","2","351"
"303","3","81","2","1527","309","666","135","318","169","149","68","9","826"
"303","4","80","8","1754","273","622","147","356","142","280","65","3","759"
"303","5","81","3","1662","260","612","123","320","158","226","59","6","690"
"303","6","16","3","261","63","130","24","56","28","39","10","1","165"
"303","7","58","2","656","113","241","52","130","50","62","26","4","294"
"304","1","76","76","2605","525","988","9","23","579","187","103","69","1315"
"304","2","73","73","2390","443","930","77","216","570","223","130","69","1218"
"304","3","74","73","2482","483","1047","76","212","627","232","129","78","1328"
"304","4","69","67","2343","430","972","75","241","533","252","90","62","1246"
"304","5","81","81","2647","501","1066","74","232","732","265","147","139","1385"
"304","6","64","62","2100","426","861","7","31","563","150","118","52","1061"
"304","7","78","78","2375","429","875","13","39","554","201","102","80","1135"
"305","2","82","3","1654","253","624","99","313","404","97","54","54","833"
"305","4","70","15","1679","258","625","129","377","384","75","53","56","744"
"305","5","66","38","1646","248","609","135","346","362","100","58","46","777"
"308","1","80","48","2222","303","550","0","1","601","105","93","45","751"
"308","2","69","57","2137","423","853","0","0","704","142","78","34","1098"
"308","3","82","82","2690","504","1015","0","1","760","171","91","47","1249"
"308","4","81","0","1823","387","726","0","4","532","187","92","38","951"
"308","5","79","67","2314","491","941","0","1","696","178","72","67","1210"
"308","6","66","66","2082","407","781","0","1","637","152","83","46","1015"
"308","7","81","81","2687","514","1058","0","4","777","281","105","55","1298"
"309","2","56","0","504","62","139","13","38","46","33","20","6","149"
"309","3","79","3","1506","195","456","57","161","136","112","60","13","499"
"309","4","73","22","1820","283","619","77","208","152","164","50","32","700"
"309","5","59","22","1263","187","389","47","104","133","99","37","18","443"
"309","6","38","0","331","43","113","17","45","33","34","11","3","110"
"309","7","75","21","1682","237","598","67","197","167","206","51","23","588"
"310","2","3","0","2","1","1","0","0","1","0","0","0","2"
"310","5","8","0","48","3","6","0","0","11","1","0","4","8"
"311","2","81","35","2045","331","763","112","313","385","133","63","16","845"
"311","3","82","1","1800","288","651","99","260","319","88","72","18","796"
"311","4","79","79","2565","421","1007","118","357","366","160","52","25","1105"
