"player_id","team_id","position_id"
"369","29","3"
"267","5","1"
"655","14","3"
"593","2","2"
"556","4","1"
"813","14","2"
"473","14","2"
"227","7","2"
"364","31","2"
"882","10","1"
"33","19","1"
"99","29","1"
"994","32","1"
"417","28","2"
"166","7","1"
"885","25","2"
"511","4","2"
"911","1","2"
"904","29","2"
"761","6","1"
"495","15","1"
"387","9","2"
"778","23","1"
"400","14","2"
"122","20","2"
"810","15","2"
"624","20","1"
"986","19","3"
"536","33","1"
"929","19","1"
"405","15","1"
"641","5","2"
"371","32","2"
"24","21","1"
"644","27","1"
"791","14","1"
"609","2","1"
"435","23","1"
"171","22","2"
"574","1","1"
"667","13","2"
"666","14","2"
"187","32","3"
"601","20","1"
"300","4","2"
"415","13","1"
"701","8","2"
"518","28","1"
"683","32","1"
"570","6","1"
"559","27","2"
"25","12","2"
"153","10","2"
"670","31","2"
"587","24","2"
"443","23","1"
"979","18","1"
"245","27","1"
"678","28","3"
"796","30","2"
"371","32","3"
"1004","21","2"
"491","9","1"
"356","24","2"
"335","28","3"
"229","29","2"
"675","27","2"
"945","14","3"
"91","20","1"
"1033","21","2"
"757","5","1"
"1007","18","1"
"670","14","2"
"784","20","2"
"767","23","1"
"735","10","1"
"391","28","1"
"531","31","1"
"216","10","1"
"197","31","1"
"560","33","2"
"379","6","1"
"479","7","2"
"881","19","3"
"561","10","3"
"750","14","2"
"663","8","1"
"216","5","1"
"138","25","1"
"944","27","1"
"537","23","1"
"406","29","1"
"922","1","1"
"225","34","2"
"621","15","1"
"673","11","1"
"1016","29","1"
"534","32","2"
"145","13","1"
"904","31","2"
"764","34","1"
"36","17","1"
"847","6","1"
"39","19","2"
"860","15","2"
"383","31","1"
"861","27","1"
"652","33","2"
"320","9","3"
"630","15","2"
"667","32","2"
"672","14","1"
"390","20","1"
"327","13","3"
"213","10","1"
"475","8","2"
"668","21","2"
"406","29","2"
"344","15","3"
"323","30","1"
"268","5","2"
"644","22","1"
"813","28","2"
"447","32","3"
"919","14","2"
"670","14","1"
"399","14","1"
"399","31","1"
"489","22","2"
"484","33","1"
"572","19","1"
"124","12","2"
"508","7","3"
"636","6","1"
"413","16","1"
"105","14","2"
"167","30","3"
"698","16","1"
"483","12","2"
"832","14","2"
"125","27","3"
"760","9","3"
"604","31","2"
"935","11","1"
"198","5","1"
"382","23","3"
"208","30","3"
"426","14","2"
"639","8","1"
"655","12","3"
"722","14","1"
"499","22","1"
"1002","31","1"
"627","29","1"
"1015","23","3"
"496","23","1"
"627","29","2"
"952","11","1"
"376","13","1"
"432","11","2"
"933","17","1"
"166","19","1"
"941","7","1"
"6","15","3"
"209","1","1"
"915","14","1"
"473","31","3"
"341","17","2"
"1027","20","2"
"270","11","3"
"220","34","1"
"722","28","1"
"717","23","2"
"883","13","1"
"267","14","1"
"855","4","1"
"87","25","3"
"57","25","1"
"76","34","1"
"902","6","2"
"637","14","1"
"374","19","1"
"611","28","2"
"540","24","1"
"841","14","1"
"637","4","1"
"33","21","1"
"953","19","1"
"600","17","3"
"450","9","1"
"622","8","2"
"6","7","3"
"310","15","3"
"756","28","2"
"583","8","1"
"934","10","2"
"30","13","2"
"51","25","1"
"550","7","2"
"510","4","3"
"633","7","3"
"493","16","1"
"21","29","2"
"521","14","2"
"768","8","2"
"673","27","1"
"238","27","1"
"75","34","1"
"453","24","2"
"435","32","1"
"245","1","1"
"696","14","2"
"356","24","3"
"508","10","2"
"580","30","1"
"90","5","1"
"208","23","2"
"937","11","1"
"878","20","3"
"564","31","3"
"696","22","2"
"135","20","1"
"384","31","2"
"789","22","1"
"174","23","2"
"319","1","1"
"404","5","2"
"977","16","2"
"740","30","1"
"347","14","2"
"491","2","2"
"356","4","2"
"300","10","2"
"411","9","1"
"477","29","1"
"928","7","2"
"560","27","2"
"673","33","1"
"461","29","3"
"597","4","2"
"129","32","1"
"403","2","2"
"136","31","3"
"1038","22","2"
"203","6","2"
"769","4","3"
"158","2","3"
"988","18","2"
"478","4","1"
"355","8","2"
"368","20","3"
"572","6","1"
"548","9","2"
"744","15","1"
"389","12","2"
"885","30","1"
"210","9","2"
"899","14","2"
"83","10","2"
"468","6","2"
"249","15","3"
"829","31","1"
"798","14","1"
"129","25","1"
"700","31","1"
"224","5","2"
"824","30","2"
"413","17","1"
"235","5","2"
"769","14","3"
"285","11","1"
"465","14","1"
"543","28","2"
"916","16","1"
"233","20","2"
"209","5","2"
"1026","29","2"
"607","3","2"
"270","25","3"
"17","28","2"
"574","12","1"
"389","14","1"
"338","23","1"
"293","14","3"
"37","1","1"
"509","24","1"
"309","12","1"
"816","17","2"
"194","3","3"
"718","28","3"
"624","3","1"
"465","20","1"
"565","29","3"
"848","20","1"
"818","28","1"
"248","10","2"
"612","29","1"
"644","23","1"
"752","26","2"
"34","22","3"
"105","12","3"
"80","13","1"
"1042","30","1"
"767","2","2"
"692","6","2"
"864","14","1"
"653","1","2"
"123","21","2"
"1013","15","2"
"573","24","3"
"947","10","2"
"245","8","1"
"930","33","3"
"950","30","1"
"475","21","1"
"794","25","3"
"97","4","1"
"772","6","3"
"691","28","3"
"578","16","1"
"421","27","3"
"498","34","1"
"390","26","1"
"34","34","3"
"637","25","1"
"315","20","3"
"859","25","1"
"783","1","2"
"936","33","3"
"474","32","3"
"1020","19","2"
"415","6","1"
"47","26","3"
"71","34","1"
"636","33","1"
"505","34","2"
"881","19","2"
"258","6","1"
"538","12","2"
"501","14","1"
"750","30","2"
"512","12","2"
"798","23","1"
"664","3","3"
"636","16","1"
"159","15","2"
"694","14","3"
"421","14","2"
"755","27","1"
"519","9","1"
"194","14","3"
"527","6","2"
"333","1","2"
"749","32","2"
"933","9","1"
"762","29","2"
"520","10","1"
"400","1","1"
"450","34","2"
"934","20","2"
"748","26","2"
"226","21","3"
"39","2","2"
"674","29","1"
"545","14","3"
"253","24","2"
"710","13","3"
"511","20","3"
"741","14","1"
"289","11","1"
"224","22","2"
"434","2","1"
"743","27","3"
"711","19","1"
"1014","15","1"
"759","14","3"
"511","3","2"
"452","20","1"
"506","20","1"
"358","14","2"
"843","16","2"
"390","15","1"
"924","32","3"
"73","2","1"
"526","14","1"
"768","14","2"
"701","21","2"
"712","10","1"
"550","6","1"
"884","9","3"
"788","7","2"
"990","1","2"
"600","17","2"
"231","34","2"
"670","25","2"
"244","24","2"
"201","31","3"
"209","1","2"
"592","11","2"
"266","3","1"
"61","13","1"
"746","27","1"
"668","15","2"
"436","26","1"
"594","31","2"
"362","14","3"
"890","27","1"
"626","24","1"
"370","7","1"
"42","25","2"
"500","13","1"
"752","14","2"
"955","19","1"
"788","7","1"
"595","28","2"
"221","10","2"
"441","14","1"
"511","4","3"
"497","30","2"
"763","33","3"
"461","18","2"
"488","10","1"
"324","13","1"
"114","14","1"
"636","31","2"
"380","27","1"
"184","14","2"
"298","6","2"
"725","10","2"
"355","11","2"
"565","14","2"
"756","34","2"
"217","6","1"
