"player_id","team_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"636","11","1","10","1","106","7","18","0","0","27","2","3","6","27"
"952","11","1","38","0","277","46","101","5","12","36","45","5","1","110"
"226","21","1","72","54","1853","281","495","0","1","461","81","53","88","688"
"951","17","1","63","11","1112","145","347","3","13","248","25","27","32","355"
"1014","15","1","62","1","858","106","259","6","30","70","162","29","2","255"
"518","16","1","63","61","2169","361","926","98","303","234","305","95","21","1019"
"863","28","1","24","9","463","19","50","1","3","81","25","24","14","47"
"863","3","1","18","0","138","11","36","1","6","35","11","7","3","27"
"224","22","1","81","81","2459","304","642","135","307","310","107","38","34","891"
"223","33","1","82","82","2940","654","1319","0","0","794","149","46","153","1528"
"791","17","1","16","1","314","30","62","1","4","65","19","17","0","91"
"791","22","1","1","0","8","1","3","0","0","2","1","0","0","2"
"790","10","1","56","38","1842","374","876","91","263","375","93","50","30","1010"
"221","32","1","79","79","3063","758","1485","92","279","590","554","124","50","2111"
"789","18","1","25","9","403","46","103","0","3","85","20","16","12","110"
"788","26","1","67","67","2405","435","1059","121","359","304","241","80","28","1240"
"1013","15","1","59","2","486","77","158","3","11","94","14","12","3","187"
"216","19","1","70","2","1375","212","515","29","84","131","183","40","6","595"
"216","21","1","13","13","347","48","122","4","24","42","59","14","0","140"
"787","23","1","25","0","155","16","38","7","16","16","7","6","1","41"
"210","16","1","60","34","1505","221","507","36","121","365","56","51","24","571"
"1012","19","1","41","0","330","23","49","0","0","86","6","6","27","59"
"1011","32","1","72","51","1145","162","319","0","1","287","26","23","58","360"
"209","31","1","67","67","2469","338","759","61","181","387","422","101","38","945"
"208","23","1","82","44","2216","335","617","0","1","622","22","31","198","808"
"514","18","1","74","44","2061","307","583","0","1","771","84","33","80","741"
"712","17","1","11","0","73","6","24","4","15","5","17","4","1","18"
"862","32","1","57","0","592","55","125","0","0","122","23","10","4","139"
"861","17","1","18","10","409","58","162","7","29","74","24","13","5","152"
"205","30","1","78","78","2935","619","1044","0","7","1098","107","107","186","1784"
"1010","32","1","56","1","978","128","321","68","175","92","62","32","3","362"
"203","9","1","77","77","2704","513","921","2","4","718","266","59","80","1178"
"633","10","1","70","16","1182","131","219","0","0","186","26","22","42","373"
"197","31","1","82","82","2901","446","999","81","222","332","531","120","29","1145"
"632","9","1","24","22","686","80","185","32","76","53","78","19","7","206"
"632","17","1","48","29","1471","198","438","43","112","129","210","56","10","531"
"511","3","1","72","11","1125","173","352","0","2","306","29","14","52","406"
"859","25","1","80","80","2409","399","825","45","114","338","200","64","35","1056"
"195","22","1","76","5","2148","287","633","77","204","199","193","66","21","884"
"194","1","1","75","75","2291","402","654","1","5","571","149","84","73","1091"
"631","10","1","80","66","2256","429","936","0","5","695","91","48","54","1105"
"510","4","1","81","80","2244","410","890","0","4","610","166","33","142","1025"
"711","29","1","38","16","527","65","160","2","17","37","18","11","3","165"
"509","26","1","68","30","1661","259","570","7","36","207","101","50","32","653"
"1009","15","1","36","14","586","68","164","25","64","60","70","10","9","200"
"710","13","1","72","8","1331","128","223","0","1","376","19","16","74","320"
"857","27","1","42","0","419","55","154","17","60","70","28","12","7","160"
"188","33","1","72","17","1218","142","293","35","74","139","81","30","19","388"
"630","3","1","74","63","2079","244","463","0","2","599","202","79","49","582"
"508","31","1","81","81","1718","264","568","9","37","465","121","29","71","584"
"187","32","1","13","0","345","44","86","0","0","106","6","7","3","104"
"785","3","1","4","0","16","3","6","0","0","5","1","0","1","8"
"506","10","1","54","15","933","108","289","34","92","140","85","31","7","321"
"181","33","1","17","16","530","83","201","25","70","40","92","13","2","268"
"181","18","1","54","54","1724","260","612","33","110","129","411","57","5","811"
"783","1","1","73","3","1665","281","675","117","328","332","101","39","10","765"
"178","23","1","82","5","2189","298","684","113","324","255","176","92","24","998"
"947","10","1","21","0","399","51","135","14","56","88","20","11","10","130"
"947","6","1","28","0","241","28","71","2","10","55","10","4","7","63"
"629","4","1","70","29","1535","285","613","0","2","366","41","37","15","767"
"854","34","1","55","39","1498","288","671","55","144","126","171","39","4","777"
"853","29","1","31","0","168","30","58","0","1","68","5","2","13","75"
"175","7","1","82","82","3112","696","1376","7","24","989","312","63","45","1845"
"1008","18","1","3","0","5","1","2","0","0","0","1","1","0","3"
"946","15","1","69","21","1127","156","386","45","154","147","48","36","20","400"
"709","19","1","77","13","1674","270","609","54","155","161","74","36","13","672"
"174","6","1","26","2","612","98","202","8","27","86","19","13","16","254"
