"name","year","team","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"Mike Conley","2017","MEM","69","68","2292","464","1009","171","419","242","433","92","19","1415"
"Pat Connaughton","2017","POR","39","1","316","37","72","17","33","52","28","6","2","98"
"Quinn Cook","2017","TOT","14","0","188","33","66","11","26","7","26","4","0","79"
"Quinn Cook","2017","DAL","5","0","77","11","25","5","14","3","12","1","0","27"
"Quinn Cook","2017","NOP","9","0","111","22","41","6","12","4","14","3","0","52"
"DeMarcus Cousins","2017","TOT","72","72","2465","647","1433","131","364","797","332","100","92","1942"
"DeMarcus Cousins","2017","SAC","55","55","1891","505","1119","95","268","585","266","75","73","1528"
"DeMarcus Cousins","2017","NOP","17","17","574","142","314","36","96","212","66","25","19","414"
"Robert Covington","2017","PHI","67","67","2119","292","732","137","412","436","102","127","69","864"
"Allen Crabbe","2017","POR","79","7","2254","303","647","134","302","225","93","54","20","845"
"Jamal Crawford","2017","LAC","82","1","2157","359","869","116","322","129","213","59","14","1008"
"Jordan Crawford","2017","NOP","19","0","442","105","218","37","95","34","57","11","2","267"
"Jae Crowder","2017","BOS","72","72","2335","333","720","157","394","415","155","72","23","999"
"Dante Cunningham","2017","NOP","66","35","1649","174","359","71","181","277","36","39","28","435"
"Seth Curry","2017","DAL","70","42","2029","338","703","137","322","178","188","79","7","898"
"Stephen Curry","2017","GSW","79","79","2638","675","1443","324","789","353","523","143","17","1999"
"Troy Daniels","2017","MEM","67","3","1183","185","495","138","355","100","46","21","4","551"
"Anthony Davis","2017","NOP","75","75","2708","770","1527","40","134","886","157","94","167","2099"
"Deyonta Davis","2017","MEM","36","0","238","24","47","0","0","60","2","3","17","58"
"Ed Davis","2017","POR","46","12","789","75","142","0","0","243","27","15","22","200"
"Dewayne Dedmon","2017","SAS","76","37","1330","161","259","0","0","495","44","37","61","387"
"Sam Dekker","2017","HOU","77","2","1419","203","429","60","187","284","76","38","21","504"
"Malcolm Delaney","2017","ATL","73","2","1248","145","388","26","110","124","193","39","1","391"
"Matthew Dellavedova","2017","MIL","76","54","1986","208","534","79","215","147","357","53","0","577"
"Luol Deng","2017","LAL","56","49","1486","164","424","51","165","295","74","48","20","425"
"DeMar DeRozan","2017","TOR","74","74","2620","721","1545","33","124","386","290","78","13","2020"
"Cheick Diallo","2017","NOP","17","0","199","36","76","0","0","73","4","4","7","87"
"Boris Diaw","2017","UTA","73","33","1283","146","327","20","81","158","170","18","9","338"
