"name","year","team","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"Dante Cunningham","2014","MIN","81","7","1635","236","509","0","5","330","83","62","58","510"
"Jared Cunningham","2014","TOT","13","0","80","6","21","1","7","6","8","3","0","26"
"Jared Cunningham","2014","ATL","5","0","22","1","2","0","1","1","3","0","0","2"
"Jared Cunningham","2014","SAC","8","0","58","5","19","1","6","5","5","3","0","24"
"Seth Curry","2014","TOT","2","0","13","1","3","1","1","1","0","2","0","3"
"Seth Curry","2014","MEM","1","0","4","0","0","0","0","0","0","0","0","0"
"Seth Curry","2014","CLE","1","0","9","1","3","1","1","1","0","2","0","3"
"Stephen Curry","2014","GSW","78","78","2846","652","1383","261","615","334","666","128","14","1873"
"Samuel Dalembert","2014","DAL","80","68","1614","214","377","0","1","541","38","41","94","529"
"Troy Daniels","2014","HOU","5","1","75","15","31","12","25","4","5","0","0","42"
"Luigi Datome","2014","DET","34","0","238","34","97","7","39","46","11","6","1","83"
"Brandon Davies","2014","PHI","51","0","575","54","128","2","10","109","28","24","8","144"
"Anthony Davis","2014","NOP","67","66","2358","522","1005","2","9","673","105","89","189","1394"
"Ed Davis","2014","MEM","63","4","956","155","290","0","0","260","27","17","43","357"
"Glen Davis","2014","TOT","68","44","1662","271","593","4","11","351","77","58","29","641"
"Glen Davis","2014","ORL","45","43","1354","232","512","4","10","282","70","46","22","545"
"Glen Davis","2014","LAC","23","1","308","39","81","0","1","69","7","12","7","96"
"Austin Daye","2014","TOT","22","1","148","24","68","12","37","27","8","4","4","66"
"Austin Daye","2014","TOR","8","0","33","3","13","0","8","7","2","0","0","8"
"Austin Daye","2014","SAS","14","1","115","21","55","12","29","20","6","4","4","58"
"Nando De","2014","TOT","47","3","494","64","153","18","53","73","65","22","6","177"
"Nando De","2014","SAS","26","3","301","42","93","10","31","45","32","15","3","112"
"Nando De","2014","TOR","21","0","193","22","60","8","22","28","33","7","3","65"
"Dewayne Dedmon","2014","TOT","31","6","390","38","83","0","0","127","5","7","22","97"
"Dewayne Dedmon","2014","GSW","4","0","6","0","1","0","0","0","0","0","0","1"
"Dewayne Dedmon","2014","PHI","11","0","150","15","29","0","0","49","3","0","9","37"
"Dewayne Dedmon","2014","ORL","16","6","234","23","53","0","0","78","2","7","13","59"
"Matthew Dellavedova","2014","CLE","72","4","1271","122","296","57","155","123","187","33","5","339"
"Luol Deng","2014","TOT","63","63","2213","371","860","57","189","361","183","62","9","1011"
"Luol Deng","2014","CHI","23","23","860","160","354","17","62","158","85","24","4","438"
"Luol Deng","2014","CLE","40","40","1353","211","506","40","127","203","98","38","5","573"
"DeMar DeRozan","2014","TOR","79","79","3017","604","1407","64","210","343","313","86","28","1791"
"Boris Diaw","2014","SAS","79","24","1974","302","580","45","112","326","222","44","32","717"
"Gorgui Dieng","2014","MIN","60","15","818","113","227","1","1","300","39","30","50","286"
"Toney Douglas","2014","TOT","51","17","675","73","190","31","102","87","68","19","5","202"
"Toney Douglas","2014","GSW","24","0","265","32","86","19","59","26","19","6","2","88"
"Toney Douglas","2014","MIA","27","17","410","41","104","12","43","61","49","13","3","114"
"Chris Douglas-Roberts","2014","CHA","49","8","1016","111","252","51","132","119","51","29","16","339"
"Goran Dragic","2014","PHO","76","75","2668","552","1093","122","299","245","447","104","22","1542"
"Andre Drummond","2014","DET","81","81","2619","479","769","0","2","1071","35","101","131","1095"
"Jared Dudley","2014","LAC","74","43","1729","196","447","81","225","160","104","41","10","511"
"Tim Duncan","2014","SAS","74","74","2158","444","906","0","5","721","220","43","139","1119"
"Mike Dunleavy","2014","CHI","82","61","2584","333","774","123","324","345","186","64","46","929"
"Kevin Durant","2014","OKC","81","81","3122","849","1688","192","491","598","445","103","59","2593"
"Shane Edwards","2014","CLE","2","0","12","1","3","0","0","2","0","0","0","2"
"Wayne Ellington","2014","DAL","45","1","393","55","126","25","59","43","19","16","2","145"
"Monta Ellis","2014","DAL","82","82","3023","576","1278","69","209","295","471","141","23","1560"
"Melvin Ely","2014","NOP","2","0","27","3","6","0","0","1","0","0","1","6"
"Jeremy Evans","2014","UTA","66","4","1209","175","332","0","2","310","44","42","46","401"
"Reggie Evans","2014","TOT","54","20","899","71","150","0","0","334","21","37","3","214"
"Reggie Evans","2014","BRK","30","6","399","23","59","0","0","149","5","13","2","81"
"Reggie Evans","2014","SAC","24","14","500","48","91","0","0","185","16","24","1","133"
"Tyreke Evans","2014","NOP","72","22","2028","391","897","21","95","341","363","84","21","1042"
"Kenneth Faried","2014","DEN","80","77","2178","447","820","0","3","684","96","70","69","1096"
"Jordan Farmar","2014","LAL","41","5","912","151","364","70","160","104","199","38","8","416"
"Vitor Faverani","2014","BOS","37","8","488","64","147","12","40","128","16","14","27","164"
"Derrick Favors","2014","UTA","73","73","2201","390","747","0","1","637","91","75","108","970"
"Carrick Felix","2014","CLE","7","0","38","7","14","2","5","6","4","0","0","19"
"Raymond Felton","2014","NYK","65","65","2017","240","608","62","195","197","365","78","27","630"
"Landry Fields","2014","TOR","30","2","322","27","67","0","5","59","20","10","3","68"
"Derek Fisher","2014","OKC","81","0","1428","141","361","88","229","122","117","70","3","425"
"Evan Fournier","2014","DEN","76","4","1503","228","544","89","237","202","112","34","7","638"
"Randy Foye","2014","DEN","81","78","2485","361","875","189","498","232","287","67","39","1068"
"Jamaal Franklin","2014","MEM","21","0","161","16","39","5","11","23","6","4","2","39"
"Jimmer Fredette","2014","TOT","49","0","519","107","227","40","84","52","64","14","3","273"
"Jimmer Fredette","2014","SAC","41","0","463","94","198","36","73","45","61","14","3","241"
"Jimmer Fredette","2014","CHI","8","0","56","13","29","4","11","7","3","0","0","32"
"Joel Freeland","2014","POR","52","0","727","77","162","0","2","208","36","10","22","174"
"Channing Frye","2014","PHO","82","82","2312","336","778","160","432","416","98","60","63","910"
"Francisco Garcia","2014","HOU","55","4","1083","118","294","69","193","122","63","27","33","315"
"Kevin Garnett","2014","BRK","54","54","1109","157","356","0","3","358","82","43","40","352"
"Diante Garrett","2014","UTA","71","0","1048","101","265","36","96","97","120","41","5","248"
"Marc Gasol","2014","MEM","59","59","1970","336","711","2","11","424","215","59","76","859"
"Pau Gasol","2014","LAL","60","60","1884","425","885","4","14","580","201","27","92","1041"
"Rudy Gay","2014","TOT","73","73","2531","537","1179","65","197","437","209","95","56","1457"
"Rudy Gay","2014","TOR","18","18","639","130","335","22","59","133","40","28","23","350"
"Rudy Gay","2014","SAC","55","55","1892","407","844","43","138","304","169","67","33","1107"
"Alonzo Gee","2014","CLE","65","24","1020","98","236","19","58","149","47","39","15","258"
"Paul George","2014","IND","80","80","2898","577","1362","182","500","542","283","151","22","1737"
"Taj Gibson","2014","CHI","82","8","2351","429","896","0","7","558","91","41","112","1069"
"Manu Ginobili","2014","SAS","68","3","1550","294","627","90","258","202","293","70","17","838"
"Rudy Gobert","2014","UTA","45","0","434","36","74","0","0","155","7","8","41","104"
"Ryan Gomes","2014","OKC","5","0","34","3","8","0","2","4","1","0","0","6"
"Drew Gooden","2014","WAS","22","0","395","76","143","7","17","114","15","10","7","183"
"Archie Goodwin","2014","PHO","52","0","533","76","167","5","36","87","20","20","11","194"
"Ben Gordon","2014","CHA","19","0","279","37","108","8","29","27","21","10","2","99"
"Eric Gordon","2014","NOP","64","64","2057","356","817","101","258","165","208","74","12","988"
"Marcin Gortat","2014","WAS","81","80","2655","455","840","1","1","767","138","41","121","1068"
"Danny Granger","2014","TOT","41","2","847","116","307","43","128","133","41","12","17","338"
"Danny Granger","2014","IND","29","2","653","80","223","31","94","105","33","9","13","242"
"Danny Granger","2014","LAC","12","0","194","36","84","12","34","28","8","3","4","96"
"Aaron Gray","2014","TOT","37","6","355","27","61","0","1","111","22","10","8","65"
"Aaron Gray","2014","TOR","4","0","20","2","3","0","0","8","3","0","0","5"
"Aaron Gray","2014","SAC","33","6","335","25","58","0","1","103","19","10","8","60"
"Danny Green","2014","SAS","68","59","1651","218","505","132","318","229","104","65","61","618"
"Draymond Green","2014","GSW","82","12","1797","187","459","55","165","409","152","102","72","511"
"Gerald Green","2014","PHO","82","48","2330","448","1006","204","510","275","122","70","42","1295"
"Jeff Green","2014","BOS","82","82","2805","482","1171","135","396","380","138","57","47","1382"
"Willie Green","2014","LAC","55","9","869","102","271","41","121","78","50","22","11","273"
"Blake Griffin","2014","LAC","80","80","2863","718","1359","12","44","757","309","92","51","1930"
"Jorge Gutierrez","2014","BRK","15","2","244","25","54","3","12","22","30","10","1","62"
"Jordan Hamilton","2014","TOT","60","12","1019","147","376","70","198","194","52","44","20","404"
"Jordan Hamilton","2014","DEN","39","11","670","99","254","45","129","133","34","31","13","266"
"Jordan Hamilton","2014","HOU","21","1","349","48","122","25","69","61","18","13","7","138"
"Justin Hamilton","2014","TOT","8","0","72","9","20","3","9","7","0","5","0","26"
"Justin Hamilton","2014","CHA","1","0","4","0","0","0","0","0","0","1","0","0"
"Justin Hamilton","2014","MIA","7","0","68","9","20","3","9","7","0","4","0","26"
"Tyler Hansbrough","2014","TOR","64","4","978","93","196","0","2","287","17","28","19","312"
"Tim Hardaway","2014","NYK","81","1","1875","294","687","130","358","121","66","44","7","824"
"James Harden","2014","HOU","73","73","2777","549","1205","177","483","344","446","115","29","1851"
"Maurice Harkless","2014","ORL","80","41","1950","224","483","59","154","264","80","97","50","592"
"Josh Harrellson","2014","DET","32","0","317","38","82","12","31","76","15","6","15","93"
"Al Harrington","2014","WAS","34","0","511","82","207","34","100","80","28","14","0","225"
"Devin Harris","2014","DAL","40","0","818","96","254","31","101","85","178","28","2","315"
"Elias Harris","2014","LAL","2","0","11","0","1","0","0","1","1","1","0","0"
"Manny Harris","2014","LAL","9","0","180","28","70","7","20","34","11","4","1","73"
"Mike Harris","2014","UTA","20","0","225","29","61","0","2","33","5","16","7","84"
"Tobias Harris","2014","ORL","61","36","1850","332","716","32","126","424","82","41","24","893"
"Udonis Haslem","2014","MIA","46","18","653","74","146","0","0","175","13","11","15","173"
"Spencer Hawes","2014","TOT","80","78","2470","403","883","128","308","660","240","44","94","1053"
"Spencer Hawes","2014","PHI","53","53","1666","264","586","81","203","452","176","31","67","688"
"Spencer Hawes","2014","CLE","27","25","804","139","297","47","105","208","64","13","27","365"
"Chuck Hayes","2014","TOT","61","1","754","56","130","0","1","210","35","34","12","132"
"Chuck Hayes","2014","SAC","16","1","179","14","32","0","0","47","6","11","2","33"
"Chuck Hayes","2014","TOR","45","0","575","42","98","0","1","163","29","23","10","99"
"Gordon Hayward","2014","UTA","77","77","2800","426","1032","85","280","391","400","110","40","1248"
"Gerald Henderson","2014","CHA","77","77","2461","403","930","40","115","310","199","51","32","1081"
"Xavier Henry","2014","LAL","43","5","908","144","345","28","81","114","51","44","7","432"
"John Henson","2014","MIL","70","23","1856","344","639","0","1","497","113","41","116","779"
"Roy Hibbert","2014","IND","81","81","2409","331","754","2","5","538","91","29","182","871"
"J.J. Hickson","2014","DEN","69","52","1859","332","654","0","8","632","96","47","51","814"
"Nene Hilario","2014","WAS","53","37","1560","299","594","1","5","294","153","64","47","754"
"George Hill","2014","IND","76","76","2434","272","616","95","260","283","265","75","23","781"
"Jordan Hill","2014","LAL","72","32","1500","286","521","0","1","535","54","29","64","696"
"Solomon Hill","2014","IND","28","0","226","17","40","7","23","41","12","5","2","47"
"Kirk Hinrich","2014","CHI","73","61","2116","243","619","85","242","192","286","80","26","666"
"Jrue Holiday","2014","NOP","34","34","1143","203","454","30","77","142","268","56","12","487"
"Ryan Hollins","2014","LAC","61","0","482","53","72","0","0","90","8","9","31","141"
"Scotty Hopson","2014","CLE","2","0","7","0","4","0","2","0","1","1","0","1"
"Al Horford","2014","ATL","29","29","958","238","420","4","11","244","76","27","44","538"
"Dwight Howard","2014","HOU","71","71","2396","473","800","2","7","866","131","60","128","1297"
"Robbie Hummel","2014","MIN","53","5","655","67","177","32","89","132","23","16","2","181"
"Kris Humphries","2014","BOS","69","30","1376","231","461","0","2","409","67","31","61","579"
"Serge Ibaka","2014","OKC","81","81","2666","524","978","23","60","709","85","39","219","1227"
"Andre Iguodala","2014","GSW","63","63","2040","220","458","62","175","293","263","95","18","588"
"Ersan Ilyasova","2014","MIL","55","47","1478","237","579","37","131","342","72","46","8","618"
"Kyrie Irving","2014","CLE","71","71","2496","532","1237","123","344","259","433","108","23","1478"
"Royal Ivey","2014","OKC","2","0","5","0","2","0","1","1","0","0","0","0"
"Jarrett Jack","2014","CLE","80","31","2252","286","698","63","185","223","324","56","22","760"
"Reggie Jackson","2014","OKC","80","36","2277","403","916","83","245","313","331","85","9","1047"
"Stephen Jackson","2014","LAC","9","0","107","6","26","1","14","10","5","6","1","15"
"Bernard James","2014","DAL","30","0","146","11","23","0","1","42","3","3","8","28"
"Damion James","2014","SAS","5","1","50","2","9","0","2","12","3","0","1","6"
"LeBron James","2014","MIA","77","77","2902","767","1353","116","306","533","488","121","26","2089"
"Mike James","2014","CHI","11","0","77","5","21","1","5","7","17","2","0","11"
"Antawn Jamison","2014","LAC","22","0","248","29","92","8","41","55","7","9","3","84"
"Othyus Jeffers","2014","TOT","6","1","47","3","6","0","2","9","1","0","0","9"
"Othyus Jeffers","2014","SAS","4","1","34","3","5","0","1","6","1","0","0","7"
"Othyus Jeffers","2014","MIN","2","0","13","0","1","0","1","3","0","0","0","2"
"Al Jefferson","2014","CHA","73","73","2553","700","1376","3","15","792","155","67","79","1594"
"Richard Jefferson","2014","UTA","82","78","2213","294","654","123","301","219","130","56","14","831"
"John Jenkins","2014","ATL","13","0","158","16","42","4","18","22","11","1","1","40"
"Brandon Jennings","2014","DET","80","79","2728","423","1135","154","457","244","609","101","8","1241"
"Jonas Jerebko","2014","DET","64","0","741","98","208","31","74","175","39","21","6","270"
"Amir Johnson","2014","TOR","77","72","2214","344","612","20","66","505","115","56","88","799"
"Chris Johnson","2014","BOS","40","0","789","85","214","43","127","97","31","27","4","250"
"James Johnson","2014","MEM","52","4","956","143","308","22","87","166","111","42","57","384"
"Joe Johnson","2014","BRK","79","79","2575","462","1018","162","404","270","216","47","10","1245"
"Orlando Johnson","2014","TOT","45","0","392","36","113","9","47","55","20","6","2","100"
"Orlando Johnson","2014","IND","38","0","342","33","96","8","41","51","16","6","1","91"
"Orlando Johnson","2014","SAC","7","0","50","3","17","1","6","4","4","0","1","9"
"Wesley Johnson","2014","LAL","79","62","2240","277","651","100","271","348","124","86","77","715"
"Darius Johnson-Odom","2014","PHI","3","0","15","0","7","0","3","2","1","1","0","0"
"James Jones","2014","MIA","20","6","236","31","68","28","54","23","9","3","4","97"
"Perry Jones","2014","OKC","62","7","764","83","181","22","61","114","26","14","19","216"
"Solomon Jones","2014","ORL","11","0","85","6","17","0","0","16","2","2","2","14"
"Terrence Jones","2014","HOU","76","71","2078","386","712","31","101","528","87","53","99","921"
"DeAndre Jordan","2014","LAC","82","82","2870","348","515","0","0","1114","74","80","203","856"
"Cory Joseph","2014","SAS","68","19","936","126","265","12","38","107","114","35","14","343"
"Chris Kaman","2014","LAL","39","13","736","176","346","0","3","229","58","11","40","404"
"Enes Kanter","2014","UTA","80","37","2138","419","853","0","1","598","75","28","42","987"
"Sergey Karasev","2014","CLE","22","1","156","12","35","4","19","16","6","3","1","37"
"Ryan Kelly","2014","LAL","59","25","1312","157","371","48","142","219","95","32","45","472"
"Michael Kidd-Gilchrist","2014","CHA","62","62","1502","167","353","1","9","324","52","43","39","448"
"Andrei Kirilenko","2014","BRK","45","4","857","82","160","1","5","146","72","40","19","226"
"Brandon Knight","2014","MIL","72","69","2400","461","1092","110","338","255","352","69","17","1291"
"Kyle Korver","2014","ATL","71","71","2408","289","609","185","392","282","208","70","24","850"
"Kosta Koufos","2014","MEM","80","22","1349","227","459","0","0","418","39","32","71","514"
"Viacheslav Kravtsov","2014","PHO","20","0","59","8","15","0","0","17","1","0","1","20"
"Ognjen Kuzmic","2014","GSW","21","0","92","5","13","0","0","21","2","3","4","15"
"Doron Lamb","2014","ORL","53","0","695","63","160","36","90","49","43","11","1","191"
"Jeremy Lamb","2014","OKC","78","0","1538","263","609","88","247","189","115","56","26","665"
"Carl Landry","2014","SAC","18","1","233","31","60","0","0","57","5","3","1","76"
"Shane Larkin","2014","DAL","48","0","489","52","137","12","38","42","71","26","1","132"
"Ty Lawson","2014","DEN","62","61","2222","347","806","72","202","215","543","100","10","1090"
"Ricky Ledo","2014","DAL","11","0","33","6","17","3","8","2","2","1","0","19"
"Courtney Lee","2014","TOT","79","47","1973","295","614","72","194","187","115","65","28","761"
"Courtney Lee","2014","BOS","30","0","504","90","183","23","52","49","32","20","9","221"
"Courtney Lee","2014","MEM","49","47","1469","205","431","49","142","138","83","45","19","540"
"David Lee","2014","GSW","69","67","2288","513","981","0","1","643","147","48","26","1257"
"Alex Len","2014","PHO","42","3","362","33","78","0","0","99","4","4","18","86"
"Kawhi Leonard","2014","SAS","66","65","1923","337","645","69","182","412","133","114","50","844"
"Meyers Leonard","2014","POR","40","0","355","41","91","0","6","111","18","7","5","98"
"Jon Leuer","2014","MEM","49","0","642","121","246","23","49","158","20","18","13","302"
"Rashard Lewis","2014","MIA","60","6","971","98","236","46","134","110","57","53","8","268"
"DeAndre Liggins","2014","MIA","1","0","1","1","1","0","0","1","0","0","0","2"
"Damian Lillard","2014","POR","82","82","2937","553","1304","218","554","288","457","64","22","1695"
"Jeremy Lin","2014","HOU","71","33","2054","295","662","82","229","187","294","68","27","890"
"Shaun Livingston","2014","BRK","76","54","1974","235","487","1","6","246","245","93","31","629"
"Brook Lopez","2014","BRK","17","17","533","129","229","0","1","102","16","9","30","352"
"Robin Lopez","2014","POR","82","82","2603","355","644","0","1","700","73","25","139","908"
"Kevin Love","2014","MIN","77","77","2797","650","1421","190","505","963","341","59","35","2010"
"Kyle Lowry","2014","TOR","79","79","2862","457","1080","190","500","369","586","121","15","1417"
"John Lucas","2014","UTA","42","6","591","62","190","25","84","39","42","14","0","159"
"Shelvin Mack","2014","ATL","73","11","1490","209","501","62","184","160","271","50","2","544"
"Ian Mahinmi","2014","IND","77","1","1248","91","189","0","1","257","24","41","72","272"
"Shawn Marion","2014","DAL","76","76","2409","341","708","58","162","497","124","90","37","791"
"Kendall Marshall","2014","LAL","54","45","1564","170","419","71","178","155","477","48","4","430"
"Cartier Martin","2014","TOT","59","6","870","111","264","59","151","110","33","27","7","329"
"Cartier Martin","2014","ATL","53","6","822","106","256","56","146","105","31","26","7","314"
"Cartier Martin","2014","CHI","6","0","48","5","8","3","5","5","2","1","0","15"
"Kenyon Martin","2014","NYK","32","15","633","63","123","0","1","134","50","25","27","137"
"Kevin Martin","2014","MIN","68","68","2177","440","1023","115","297","203","121","66","6","1298"
"Roger Mason","2014","MIA","25","2","260","25","67","17","48","22","19","6","1","74"
"Wesley Matthews","2014","POR","82","82","2780","445","1009","201","511","289","197","76","14","1343"
"Jason Maxiell","2014","ORL","34","13","488","47","105","0","0","86","9","8","20","109"
"Eric Maynor","2014","TOT","31","0","327","32","101","12","37","39","52","9","3","82"
"Eric Maynor","2014","WAS","23","0","215","21","72","8","25","24","40","5","1","52"
"Eric Maynor","2014","PHI","8","0","112","11","29","4","12","15","12","4","2","30"
"O.J. Mayo","2014","MIL","52","23","1346","224","550","84","227","124","113","28","13","608"
"Luc Mbah","2014","TOT","64","7","1003","87","193","4","17","146","36","30","14","224"
"Luc Mbah","2014","SAC","9","5","196","15","32","1","3","27","15","9","5","40"
"Luc Mbah","2014","MIN","55","2","807","72","161","3","14","119","21","21","9","184"
"Ray McCallum","2014","SAC","45","10","897","113","300","22","59","79","120","22","9","280"
"C.J. McCollum","2014","POR","38","0","476","74","178","30","80","48","27","14","2","201"
"JaVale McGee","2014","DEN","5","5","79","17","38","0","0","17","2","1","7","35"
"Ben McLemore","2014","SAC","82","55","2187","255","679","95","297","235","82","45","18","720"
"Josh McRoberts","2014","CHA","78","78","2360","247","566","105","291","373","333","58","46","661"
"Jodie Meeks","2014","LAL","77","70","2556","413","892","162","404","194","138","111","4","1209"
"Gal Mekel","2014","DAL","31","1","292","30","86","5","20","27","63","4","1","73"
"Khris Middleton","2014","MIL","82","64","2460","376","854","120","290","310","169","83","20","990"
"C.J. Miles","2014","CLE","51","34","984","178","409","83","211","103","52","46","15","503"
"Andre Miller","2014","TOT","58","2","982","106","231","11","21","130","197","34","9","283"
"Andre Miller","2014","DEN","30","2","570","66","144","9","18","73","100","15","7","176"
"Andre Miller","2014","WAS","28","0","412","40","87","2","3","57","97","19","2","107"
"Darius Miller","2014","NOP","45","7","723","73","166","25","77","52","43","24","9","200"
"Mike Miller","2014","MEM","82","4","1707","213","443","107","233","207","130","26","5","579"
"Quincy Miller","2014","DEN","52","16","789","94","256","30","94","147","26","22","32","257"
"Patty Mills","2014","SAS","81","2","1527","309","666","135","318","169","149","68","9","826"
"Paul Millsap","2014","ATL","74","73","2482","483","1047","76","212","627","232","129","78","1328"
"Tony Mitchell","2014","MIL","3","0","10","3","5","0","1","1","1","1","0","6"
"Tony Mitchell","2014","DET","21","0","79","5","12","1","1","26","2","6","3","22"
"Nazr Mohammed","2014","CHI","80","1","562","54","126","0","0","175","20","14","30","124"
"Greg Monroe","2014","DET","82","82","2690","504","1015","0","1","760","171","91","47","1249"
"ETwaun Moore","2014","ORL","79","3","1506","195","456","57","161","136","112","60","13","499"
"Darius Morris","2014","TOT","27","0","313","39","96","12","38","26","44","13","0","107"
"Darius Morris","2014","PHI","12","0","193","29","67","10","24","13","31","8","0","83"
"Darius Morris","2014","LAC","10","0","54","4","13","0","7","5","5","2","0","9"
"Darius Morris","2014","MEM","5","0","66","6","16","2","7","8","8","3","0","15"
"Marcus Morris","2014","PHO","82","1","1800","288","651","99","260","319","88","72","18","796"
"Markieff Morris","2014","PHO","81","0","2153","411","845","34","108","485","144","68","51","1115"
"Anthony Morrow","2014","NOP","76","9","1426","238","520","88","195","140","59","38","12","636"
"Donatas Motiejunas","2014","HOU","62","3","952","131","296","21","84","225","34","20","21","341"
"Arnett Moultrie","2014","PHI","12","2","187","16","38","0","0","35","2","8","4","36"
"Timofey Mozgov","2014","DEN","82","30","1770","285","545","4","24","528","62","27","100","770"
"Shabazz Muhammad","2014","MIN","37","0","290","57","124","3","11","53","6","8","1","143"
"Byron Mullens","2014","TOT","45","0","414","73","165","33","89","92","14","15","11","189"
"Byron Mullens","2014","LAC","27","0","167","26","64","13","39","32","6","6","3","67"
"Byron Mullens","2014","PHI","18","0","247","47","101","20","50","60","8","9","8","122"
"Erik Murphy","2014","CHI","24","0","62","3","13","0","3","8","2","0","4","6"
"Toure Murry","2014","NYK","51","0","373","56","129","5","12","44","49","19","1","140"
"Mike Muscala","2014","ATL","20","0","215","31","73","0","3","52","7","3","10","76"
"Hamady NDiaye","2014","SAC","14","0","74","3","9","0","0","18","3","0","4","6"
"Steve Nash","2014","LAL","15","10","313","36","94","8","24","29","86","7","2","102"
"Gary Neal","2014","TOT","52","3","1114","193","471","68","180","90","83","18","0","548"
"Gary Neal","2014","MIL","30","2","607","108","277","40","111","50","46","7","0","301"
"Gary Neal","2014","CHA","22","1","507","85","194","28","69","40","37","11","0","247"
"Nemanja Nedovic","2014","GSW","24","0","142","8","39","3","18","15","13","0","1","26"
"Jameer Nelson","2014","ORL","68","68","2179","294","747","136","391","231","476","52","5","820"
"Andrew Nicholson","2014","ORL","76","5","1174","180","420","28","89","255","25","18","23","435"
"Joakim Noah","2014","CHI","80","80","2820","380","800","0","2","900","431","99","121","1007"
"Steve Novak","2014","TOR","54","1","540","60","146","52","122","58","13","12","4","178"
"Dirk Nowitzki","2014","DAL","80","80","2628","633","1273","131","329","498","216","73","45","1735"
"James Nunnally","2014","TOT","13","0","165","15","46","8","25","19","8","6","2","44"
"James Nunnally","2014","ATL","4","0","54","6","18","3","10","8","2","1","1","18"
"James Nunnally","2014","PHI","9","0","111","9","28","5","15","11","6","5","1","26"
"Jermaine ONeal","2014","GSW","44","13","883","125","248","0","0","242","25","14","40","349"
"Kyle OQuinn","2014","ORL","69","19","1188","186","371","0","3","364","78","39","88","429"
"Greg Oden","2014","MIA","23","6","212","27","49","0","0","54","1","7","13","67"
"Victor Oladipo","2014","ORL","80","44","2487","392","936","74","226","329","327","129","37","1106"
"Kelly Olynyk","2014","BOS","70","9","1400","234","502","40","114","365","109","35","27","607"
"Arinze Onuaku","2014","TOT","5","0","30","1","5","0","0","8","3","0","0","3"
"Arinze Onuaku","2014","NOP","3","0","25","1","4","0","0","7","3","0","0","3"
"Arinze Onuaku","2014","CLE","2","0","5","0","1","0","0","1","0","0","0","0"
"Daniel Orton","2014","PHI","22","4","251","21","47","0","0","61","15","6","16","65"
"Travis Outlaw","2014","SAC","63","4","1065","130","326","41","117","168","48","20","19","343"
"Zaza Pachulia","2014","MIL","53","43","1325","149","349","0","1","333","136","45","14","408"
"Jannero Pargo","2014","CHA","29","0","242","52","118","24","60","20","52","14","1","136"
"Tony Parker","2014","SAS","68","68","1997","456","914","25","67","155","388","36","9","1134"
"Chandler Parsons","2014","HOU","74","74","2783","466","987","130","351","409","298","88","29","1226"
"Patrick Patterson","2014","TOT","65","13","1533","225","489","55","151","342","78","55","37","555"
"Patrick Patterson","2014","SAC","17","6","415","50","122","9","39","99","15","13","3","118"
"Patrick Patterson","2014","TOR","48","7","1118","175","367","46","112","243","63","42","34","437"
"Chris Paul","2014","LAC","62","62","2171","406","870","78","212","268","663","154","4","1185"
"Nikola Pekovic","2014","MIN","54","54","1663","379","701","0","0","468","50","30","23","944"
"Kendrick Perkins","2014","OKC","62","62","1207","87","193","0","1","305","67","26","32","211"
"Paul Pierce","2014","BRK","75","68","2098","321","712","112","300","348","178","86","31","1010"
"Dexter Pittman","2014","ATL","2","0","3","0","1","0","0","3","0","0","0","0"
"Mason Plumlee","2014","BRK","70","22","1275","199","302","0","3","308","60","49","55","520"
"Miles Plumlee","2014","PHO","80","79","1964","286","553","0","0","626","43","50","90","646"
"Quincy Pondexter","2014","MEM","15","2","270","31","79","11","34","26","20","5","1","94"
"Otto Porter","2014","WAS","37","0","319","33","91","4","21","57","10","8","1","78"
"Josh Powell","2014","HOU","1","0","19","2","6","0","0","5","0","0","1","4"
"Phil Pressey","2014","BOS","75","11","1132","78","253","28","106","105","241","68","5","213"
"A.J. Price","2014","MIN","28","0","99","19","46","6","22","10","13","1","0","44"
"Ronnie Price","2014","ORL","31","2","377","28","92","9","43","43","66","25","2","74"
"Pablo Prigioni","2014","NYK","66","27","1283","88","191","65","140","129","228","67","2","252"
"Tayshaun Prince","2014","MEM","76","76","1948","200","492","20","69","234","119","39","19","454"
"Miroslav Raduljica","2014","MIL","48","2","465","68","126","0","0","108","23","7","13","181"
"Anthony Randolph","2014","DEN","43","5","527","68","176","18","61","122","32","26","19","206"
"Shavlik Randolph","2014","PHO","14","0","95","7","14","0","0","25","1","3","1","20"
"Zach Randolph","2014","MEM","79","79","2705","560","1198","2","20","795","200","54","23","1372"
"J.J. Redick","2014","LAC","35","34","987","181","398","73","185","74","78","28","3","532"
"Glen Rice","2014","WAS","11","1","109","11","37","5","17","20","7","6","1","32"
"Luke Ridnour","2014","TOT","61","14","1141","126","327","37","108","97","176","32","8","306"
"Luke Ridnour","2014","MIL","36","12","763","84","219","25","68","62","122","23","2","206"
"Luke Ridnour","2014","CHA","25","2","378","42","108","12","40","35","54","9","6","100"
"Austin Rivers","2014","NOP","69","4","1339","192","474","36","99","129","160","45","9","530"
"Andre Roberson","2014","OKC","40","16","399","33","68","2","13","94","15","19","10","75"
"Brian Roberts","2014","NOP","72","42","1667","244","581","64","178","136","234","43","7","677"
"Nate Robinson","2014","DEN","44","1","866","164","383","58","154","81","112","36","4","457"
